net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
292.802	20.46	233	2018-08-17T14:26:57.199154677Z	76.67	30.741	38.06	1.13	7.37	cassandra-001	38.06
293.576	1.13	234	2018-08-17T14:27:04.20766939Z	76.68	32.22	38.06	1.08	4.66	cassandra-001	38.06
591.033	1.08	235	2018-08-17T14:27:11.21641394Z	76.68	61.192	38.06	1.1	4.66	cassandra-001	38.06
297.878	1.1	235	2018-08-17T14:27:18.22341423Z	76.68	32.932	38.06	1.06	4.65	cassandra-001	38.06
595.785	1.06	236	2018-08-17T14:27:25.230244267Z	76.68	60.161	38.06	23.82	4.33	cassandra-001	38.06
298.677	23.82	236	2018-08-17T14:27:32.239334374Z	76.68	31.638	38.06	1.08	8.11	cassandra-001	38.06
296.797	1.08	237	2018-08-17T14:27:39.245605783Z	76.68	30.648	38.06	1.06	4.88	cassandra-001	38.06
599.812	1.06	238	2018-08-17T14:27:46.254498915Z	76.68	61.612	38.06	3.51	4.87	cassandra-001	38.06
297.978	3.51	238	2018-08-17T14:27:53.261906531Z	76.69	31.558	38.06	1.05	5.27	cassandra-001	38.06
609.376	1.05	239	2018-08-17T14:28:00.269150104Z	76.69	65.293	38.06	21.01	5.26	cassandra-001	38.06
299.637	21.01	240	2018-08-17T14:28:07.279665818Z	76.69	29.406	38.06	1.12	8.59	cassandra-001	38.06
300.794	1.12	240	2018-08-17T14:28:14.286858802Z	76.69	32.706	38.06	1.26	4.8	cassandra-001	38.06
604.976	1.26	241	2018-08-17T14:28:21.294583234Z	76.69	67.642	38.06	1.15	4.83	cassandra-001	38.06
309.147	1.15	242	2018-08-17T14:28:28.303276729Z	76.69	37.549	38.06	1.12	4.85	cassandra-001	38.06
614.194	1.12	242	2018-08-17T14:28:35.311685103Z	76.7	71.614	38.06	21.82	4.45	cassandra-001	38.06
309.736	21.82	243	2018-08-17T14:28:42.32127032Z	76.7	35.82	38.06	1.23	7.91	cassandra-001	38.06
307.962	1.23	243	2018-08-17T14:28:49.330497749Z	76.69	34.526	38.06	1.16	4.62	cassandra-001	38.06
617.754	1.16	244	2018-08-17T14:28:56.340208474Z	76.7	69.777	38.06	1.24	4.62	cassandra-001	38.06
312.026	1.24	245	2018-08-17T14:29:03.348996842Z	76.7	35.74	38.06	1.3	4.62	cassandra-001	38.06
623.896	1.3	245	2018-08-17T14:29:10.356466066Z	76.7	69.46	38.06	21.14	4.64	cassandra-001	38.06
311.715	21.14	246	2018-08-17T14:29:17.364756043Z	76.7	35.7	38.06	1.25	7.98	cassandra-001	38.06
315.565	1.25	247	2018-08-17T14:29:24.374310105Z	76.71	36.095	38.06	2.57	4.55	cassandra-001	38.06
620.295	2.57	247	2018-08-17T14:29:31.383277762Z	76.71	58.872	38.06	1.06	4.78	cassandra-001	38.06
304.408	1.06	248	2018-08-17T14:29:38.39126615Z	76.71	32.32	38.06	1.2	4.76	cassandra-001	38.06
617.025	1.2	248	2018-08-17T14:29:45.400384175Z	76.71	60.732	38.06	25.75	4.75	cassandra-001	38.06
308.891	25.75	249	2018-08-17T14:29:52.408979783Z	76.71	28.254	38.06	1.06	8.83	cassandra-001	38.06
312.39	1.06	250	2018-08-17T14:29:59.415966833Z	76.71	25.481	38.06	1.18	5.48	cassandra-001	38.06
